Trash Pollution,Oil Concentration,Bacteria Level,Algae Concentration,Humidity,Wind Direction,Air Temperature
Medium,1.45,261,13.18,57,340,22
Medium,3.45,260,8.6,89,217,35
Medium,2.45,152,8.4,99,278,26
Low,0.04,109,0.53,52,117,17
Low,3.6,177,1.7,20,179,7
High,3.15,334,10.78,76,199,28
Medium,0.11,144,5.34,21,198,6
High,0.24,248,8.96,55,227,40
High,2.07,375,5.18,97,274,27
,,128,5.92,,359,37
Medium,2.45,224,9.62,59,3,24
Medium,1.12,9,3.4,27,162,7
Medium,1.7,307,6.73,82,132,34
High,1.01,48,6.06,44,160,22
Medium,2.9,356,12.71,51,141,30
Medium,2.4,289,2.28,42,37,-8
High,0.34,10,1.26,20,63,-5
High,0.94,396,6.69,54,165,9
Medium,2.75,254,5.62,65,191,39
Low,3.97,255,1.81,78,304,32
High,2.34,217,5.8,69,348,34
Medium,2.32,256,14.25,67,268,22
High,3.08,217,5.58,67,223,3
High,2.55,214,11.11,64,315,24
Low,0.45,171,4.97,100,326,18
Medium,2.42,386,13.27,57,234,21
High,3.05,322,5.21,93,256,38
Medium,3,242,1.52,46,262,23
High,1.31,180,3.2,24,51,19
Low,2.03,396,4.41,68,201,27
Low,0.43,35,0.08,29,64,20
Medium,1.62,5,1.58,45,173,-5
High,1.75,187,5.93,51,162,30
Low,1.66,9,6.53,35,84,0
Medium,1.55,8,0.99,43,2,19
High,2.91,383,8.88,89,238,23
High,3.88,275,13.68,86,210,28
Medium,0.42,103,6.97,47,40,-3
Low,3.57,200,7.46,63,188,37
Low,0.39,7,4.23,47,179,13
Low,0.33,101,3.35,67,108,-9
Low,1.28,185,0.34,50,173,-4
Medium,0.45,125,3.3,57,187,
Low,1.92,225,0.44,57,103,24
Low,1.11,103,4.02,48,66,-1
Medium,0.54,8,2.3,14,76,7
High,1.58,177,13.21,93,7,40
Low,1.59,74,4.41,26,0,8
High,2.64,197,6.7,75,226,31
High,,173,12.19,95,290,34
Medium,0.05,148,1.24,32,177,15
,0,139,7,29,102,4
Medium,1.87,171,12.89,20,145,-1
Low,0.78,179,5.34,20,,-1
High,3.43,332,3.83,32,208,24
High,3.03,366,7.09,95,209,29
High,3.81,248,14.08,99,197,35
Low,1.23,21,6.97,29,96,16
Medium,1.6,110,11.96,,267,27
Medium,1.85,273,13.58,81,207,21
High,1.47,84,6.71,58,73,3
High,2.33,7,13.4,39,247,38
Medium,3.49,213,11.59,67,211,25
Medium,1.74,268,14.2,96,187,34
High,3.74,53,14.72,92,262,28
Low,3.56,4,2.49,77,,40
,1.72,190,10.63,66,190,36
Low,1.55,341,8.35,87,345,37
Low,1.89,103,5.22,56,29,29
Medium,2,260,4.81,94,200,37
Low,1.55,75,6.32,46,,15
,4,241,8.93,65,196,34
Low,0.73,158,6.12,44,321,19
High,1.29,58,6.57,77,297,37
Low,0.04,343,1.65,36,24,-1
Medium,1.65,60,0.85,34,41,22
Low,2.43,396,11.59,66,290,35
Medium,3.24,280,6.97,72,303,27
Medium,0.69,386,2.82,46,97,30
Medium,,107,13.49,79,,28
Low,1,8,5.11,46,59,-6
Medium,1.35,371,4.13,60,203,9
Low,0.82,152,3.9,70,19,6
Medium,1.13,319,14.77,63,197,-6
High,3.96,224,12.19,68,231,34
High,0.47,315,1.87,37,18,21
Low,1.67,109,2.87,48,180,21
Medium,1.06,25,6.73,37,134,11
Low,2.85,260,7.24,57,280,35
Medium,0.57,102,7.23,38,174,-6
Low,2.29,308,2.21,95,240,34
Medium,1.31,124,3.66,45,83,-10
High,3.01,192,4.63,53,,37
High,0.29,26,5.73,56,13,-3
Medium,0.27,45,8.15,15,186,-2
Medium,3.83,158,12.82,81,317,24
Medium,1.01,127,4.03,16,167,20
Medium,1.24,298,6,70,314,24
Medium,2.4,270,11.16,63,267,23
High,2.15,252,6.54,95,250,22
High,3.98,373,11.6,57,342,22
Low,0.84,197,6.1,59,187,-1
Medium,0.33,256,4.92,82,234,34
Low,1.29,115,4.2,44,354,9
Low,1.98,32,4.49,38,118,18
High,1.97,166,7.09,97,270,33
Medium,1.78,321,9.88,19,155,20
Medium,2,30,3.76,17,149,20
High,2.1,153,0.43,75,289,30
High,1.27,342,12.35,94,336,37
Medium,3.13,227,9.6,27,312,32
Low,1.77,79,0.91,60,127,-2
Medium,1.28,369,6.94,61,24,36
High,3.98,357,7.44,99,269,37
High,0.09,223,1.44,33,24,23
Low,,86,6.94,55,106,3
Low,0.12,172,14.86,50,45,9
High,2.94,74,13.73,98,299,39
Medium,2.01,314,14.68,71,183,30
Medium,1.89,111,5.46,85,329,36
Medium,2.16,13,5.52,54,289,33
Medium,2.32,337,5.78,45,203,23
Medium,3.75,316,4.03,79,340,31
Medium,3.85,332,14.65,67,353,39
Low,0.9,54,5.43,89,243,1
High,1.43,270,14.89,88,225,-2
High,1.04,59,4.96,77,64,22
Medium,1.49,396,4.29,88,310,37
High,0.62,392,1.74,15,158,15
High,2.9,396,11.53,90,323,36
High,2.66,199,7.11,19,50,19
Medium,0.78,156,2.01,34,133,10
High,2.82,268,11.8,53,233,25
Medium,,102,12.12,33,17,-7
Low,1.95,367,6.3,31,57,7
Low,0.42,290,0.73,17,79,-10
High,1.73,373,8.81,25,198,37
Medium,1.77,45,11.13,54,282,40
Medium,2.58,7,12.38,38,195,10
Low,2.99,155,6.92,57,41,24
Medium,2.11,400,4.29,97,206,37
Medium,1,394,11.2,87,268,24
Medium,0.91,23,1.62,47,91,22
High,1.87,78,4.07,38,329,6
Low,1.51,37,5.77,85,204,6
Low,1.86,184,9.07,56,339,20
Medium,0.38,195,11.82,37,161,16
High,,202,11.39,59,259,21
Medium,0.69,137,6.91,50,12,-7
Low,2.57,199,8.93,17,159,21
Medium,,371,5.66,64,283,25
Medium,3.18,247,7.8,58,246,-2
,0.67,199,1.99,36,74,24
Medium,2.35,380,8.39,71,252,21
Medium,2.23,265,5.53,81,85,19
Medium,2.42,293,2.04,58,278,26
Low,0.34,37,0.27,63,56,8
Medium,1.32,196,5.67,24,180,33
Low,0.73,72,0.49,83,149,39
High,3.34,373,8.82,80,251,31
High,1.12,154,0.54,55,137,13
Medium,1.65,120,3.79,64,325,30
High,1.32,335,4.57,87,246,-3
High,1.47,363,13.45,66,182,
High,0.01,6,14.45,90,339,20
High,0.59,11,13.94,26,121,21
High,3.79,131,4.39,77,239,
Low,0.63,143,7.47,42,59,9
Low,2.53,221,7.67,56,224,28
Medium,1.08,305,6.58,80,237,25
High,1.73,13,9.11,83,200,35
Medium,2.02,372,2.62,51,195,22
Low,0.8,66,3.93,40,151,16
Low,1.8,386,2,35,48,19
Medium,0.71,350,5.26,86,200,30
Medium,1.3,167,3.25,48,94,-6
Medium,1.13,128,2.74,96,249,23
Medium,1.78,104,8.37,78,189,21
Low,0.75,5,5.98,77,53,1
High,1.07,228,1.46,59,220,0
Low,0.4,63,4.98,38,28,-9
High,0.39,92,2.82,24,90,-7
High,3.61,286,14.76,85,338,
Low,0.66,139,3.4,58,320,
Medium,3.13,181,5.37,42,13,9
High,0.57,179,9.98,67,301,10
High,3.94,335,5.56,53,30,20
Medium,1.54,119,12.09,39,0,8
Low,0.18,158,6.94,42,104,-6
Medium,1.13,305,2.06,19,63,9
Low,2.52,96,1.33,46,91,24
Low,0.18,153,6.34,28,,4
High,3.99,230,5.23,90,195,21
High,0.71,153,8.55,80,257,24
Medium,2.51,308,6.77,62,228,24
Medium,1.23,9,7.58,68,358,39
Low,0.97,4,6.6,43,275,-3
Low,0.33,154,6.39,71,92,18
High,0.76,47,7.5,54,57,6
High,2.11,161,2.31,53,197,22
Medium,0.34,10,9.22,25,338,13
Low,0.59,192,10.74,37,119,-10
High,2.62,370,14.6,76,208,21
Low,0.49,199,10.97,28,105,-10
Medium,0.67,158,1.2,26,59,24
High,3.8,43,7.4,59,347,31
Medium,1.08,156,4.55,32,190,18
Medium,3.48,226,8.07,64,283,29
High,2.29,327,14.69,57,75,28
,3.62,357,10.05,75,205,29
,1.07,186,2,19,2,31
Low,3.06,19,13.92,58,289,
Low,1.36,5,3.04,20,149,12
Low,0,152,3.07,53,22,11
Medium,1.61,68,6.81,44,57,8
Medium,1.47,120,13.89,61,275,
Medium,3.22,147,6.04,73,159,12
High,1.02,390,4.59,50,272,26
Medium,2.15,258,11.8,73,351,20
High,3.75,183,8.68,73,152,28
Low,1.82,299,1.86,17,78,21
High,1.81,193,7.43,68,259,30
Medium,1.77,210,3.06,37,260,31
Low,2.9,367,2,78,287,39
Medium,0.49,111,2.91,38,87,39
High,1.59,129,8.6,90,308,12
Low,1.68,56,5.49,74,308,35
High,3.93,171,5.98,91,314,26
High,1.4,395,10.95,69,292,29
Medium,0.06,185,11.5,,188,-4
Medium,1.48,125,3.24,15,108,8
Medium,0.5,155,4.15,37,108,5
High,1.29,113,1.49,57,10,23
Medium,3.18,162,6.71,85,206,25
Medium,1.06,325,4.89,26,19,5
Low,0,51,13.4,43,81,37
High,4,374,8.81,18,301,29
Medium,1.67,373,14.8,58,96,20
High,2.54,213,5.92,61,275,31
Medium,1.74,158,4.97,28,283,-8
Low,1.31,177,2.35,61,184,24
Low,1.19,207,2.98,18,,-7
Low,1.2,179,5.37,45,159,40
High,3.06,246,11.92,75,13,37
Medium,2.22,3,6.49,55,159,27
High,2.43,151,7.34,79,279,33
Low,2.76,346,6.14,66,154,40
High,3.95,369,10.81,71,298,26
Medium,1.07,288,6.69,43,339,21
Medium,0.43,350,2.07,59,59,10
Low,0.07,42,5.87,16,122,
High,3.87,321,5.17,61,160,20
Medium,1.64,13,10.78,25,154,24
High,2.18,195,10.15,53,262,40
Medium,3.37,386,11.21,77,206,21
Low,1.79,72,2.21,97,84,-3
Medium,1.55,25,0.68,50,14,20
Low,,91,6.23,23,174,4
Low,1.15,179,3.27,34,137,-5
Medium,1.55,330,7.2,94,65,39
High,1.26,28,5.07,47,136,21
Low,0.06,37,10.31,42,145,8
Medium,1.27,305,7.37,47,176,-4
Low,2.17,324,12.55,95,340,19
Low,1.13,36,4.34,33,52,26
Medium,,325,7.41,58,133,6
Low,3.87,114,7.24,31,184,11
High,1.25,192,5.12,50,297,36
Medium,2.68,28,8.26,62,200,39
Medium,1.89,202,14.77,60,298,24
Medium,3.35,185,13.91,58,52,
High,1.71,192,0.72,79,19,17
High,1.85,182,4.33,56,315,27
High,2.51,225,10.96,65,215,26
High,0.31,199,4.66,31,360,10
Medium,1.98,166,5.36,32,90,3
Medium,0.82,177,5.65,50,71,25
High,0.33,21,2.31,48,9,-4
Medium,3.77,228,13.45,79,267,30
Medium,1.83,202,12.5,15,210,3
Low,0.66,26,1.34,32,50,23
Low,1.69,265,7.53,64,345,29
Medium,1.13,12,11.2,84,71,24
Medium,1.99,1,0.77,65,200,28
High,1.96,283,13.11,53,340,33
Medium,1.97,249,3.4,65,314,24
Medium,3.39,372,6.36,74,211,33
Low,1.98,175,3.37,69,68,23
Low,3.08,260,7.04,72,192,28
Medium,2.14,203,13.03,81,230,27
Medium,1.32,157,12.77,74,296,36
Medium,1.33,397,10.03,67,159,22
High,2.72,253,10.28,50,244,23
Medium,1.46,29,0.67,87,57,15
Low,1.5,9,1.4,59,,25
High,0.48,196,7.15,54,228,0
Medium,3.8,313,7.23,83,293,36
High,1.93,175,10.15,60,305,31
Low,3.45,208,2.78,63,274,25
Medium,3.37,151,8.07,56,321,30
Medium,0.01,109,4.28,34,192,19
Low,0.26,137,11.05,30,174,1
,1.28,347,8.22,60,352,37
High,1.47,209,11.28,89,316,10
,3.4,322,5.22,94,200,31
Medium,1.45,30,1.81,89,283,4
Medium,1.91,32,3.23,70,201,36
Low,2.89,316,14.09,90,213,36
Low,1.25,31,13.02,60,57,-5
Medium,1.6,180,6.55,31,314,23
Medium,0.43,151,11.64,58,302,20
Medium,3.82,358,12.64,67,164,28
Medium,2.85,155,14.27,78,300,39
Medium,3.14,279,4.2,43,244,28
Medium,3.53,218,5.19,65,50,30
Low,2.69,192,9.53,80,308,31
Medium,0.35,132,3.56,33,168,17
High,0.02,25,7.3,49,173,14
Medium,1.26,161,4.79,30,140,11
Medium,1.57,333,5.02,43,96,11
Medium,3.2,185,10.14,64,260,24
Medium,2.2,176,13.3,89,263,20
Medium,1.67,372,9.46,58,270,36
Medium,1.33,69,12.57,74,357,32
High,3.24,204,4.33,99,230,26
Medium,3.71,217,3.65,100,318,22
Low,2.19,280,13.19,58,199,26
Medium,2.53,292,6.06,37,323,4
Medium,1.61,14,2.09,17,259,20
Medium,1.29,217,7.45,79,316,
High,3.97,275,8.77,39,152,24
High,,250,7.85,14,336,34
Medium,3.27,93,1.97,23,174,12
High,1.37,157,5.42,37,148,9
High,1.64,390,3.68,52,219,28
Medium,3.4,385,4.39,62,348,20
Medium,3.76,138,5.75,74,293,22
High,0.51,371,4.63,53,80,22
Medium,1.48,255,6.95,,357,-1
Medium,3.83,184,10.58,94,320,28
Low,1.5,131,5.94,53,114,0
High,2.13,356,6.47,33,,31
Low,3.95,27,13.33,57,193,8
High,2.74,312,2.37,,206,28
High,1.78,177,9.54,65,282,24
,3.29,74,2.12,81,311,28
Medium,1.97,101,2.02,16,195,16
Medium,1.55,190,10.65,42,37,12
Low,2.05,105,6.97,22,87,
High,3.62,88,3.7,83,176,16
High,2.55,12,3.27,51,347,
Low,2.96,180,4.51,58,269,34
Medium,2.6,367,4.79,68,290,35
Medium,2.01,151,14.1,33,130,-3
High,2.63,203,12.52,93,179,21
Low,1.9,29,6.17,25,68,13
Low,2.42,210,10.89,85,253,32
Low,0.3,180,11.83,79,194,32
Low,0.63,349,5.11,47,191,26
Medium,1.27,379,14.47,29,229,
Medium,1,41,2.14,51,50,10
Low,3.84,180,4.1,72,224,29
High,1.32,203,6.06,70,190,28
Medium,0.95,59,0.64,59,193,-4
Low,1.68,178,6.23,47,40,
High,2.63,160,10.66,54,263,-3
Medium,1.71,91,1.78,42,136,-2
Medium,3.29,81,2.26,65,276,34
High,1.22,79,3.64,97,285,39
Medium,0.64,38,3.67,47,59,-5
Medium,1.97,227,5.26,93,330,37
Medium,0.59,179,0.22,98,152,13
Low,0.24,398,2.71,31,119,9
Medium,1.75,234,14.79,15,209,28
High,2.82,344,6.14,82,346,33
Medium,1.49,165,4.7,45,185,6
,0.43,66,3.38,35,104,9
Low,0.14,34,4.66,54,195,7
Medium,1.63,331,8.63,83,270,37
Medium,2.05,53,2.23,59,277,38
Medium,1.69,371,8.14,88,93,21
Medium,0.47,171,0.39,58,189,21
Low,0.23,264,2.14,47,56,14
Medium,0.78,47,1.36,50,258,13
Medium,1.91,2,5.68,54,56,4
Low,0.78,117,8.3,17,75,-2
Low,2.41,287,13.26,56,297,37
Low,3.49,155,2.82,38,151,-8
High,3.27,329,14.96,74,227,30
Medium,1.67,12,3.24,70,45,-1
High,1.95,110,4.7,,249,27
Medium,3.87,319,11.02,98,227,21
Medium,2.47,377,4.56,52,349,35
Medium,1.03,162,6.2,27,29,19
High,0.68,123,3.04,39,90,6
Medium,2.22,345,1.58,91,341,24
Low,1.3,208,6.49,40,32,8
High,0.41,16,3.87,18,46,3
High,3.35,62,2.13,71,122,-1
Medium,3.88,340,11.79,96,231,33
High,0.83,84,6.34,53,124,1
Low,1.23,186,9.3,24,85,
High,0.45,316,11.42,100,290,22
Low,0.92,41,6.36,46,69,-9
Medium,0.55,314,0.45,36,80,11
Low,0.09,129,7.13,57,272,6
Medium,1.79,266,6.45,81,278,37
Medium,1.3,294,5.97,99,189,25
High,1.74,111,5.21,39,153,23
High,2.33,237,4.98,99,192,30
Medium,0.29,54,4.54,,92,2
High,2.98,377,12.48,63,210,20
Medium,1.04,2,2.82,14,153,21
Medium,1.67,387,8.79,66,345,20
High,2.11,187,13.39,66,281,39
Low,3.29,69,11.52,86,283,31
Medium,1.31,274,13.32,69,108,32
Medium,1.99,48,0.86,55,89,3
High,1.23,236,11.97,53,235,25
High,0.93,254,11.32,32,105,-4
Medium,1.41,74,4.35,,347,40
Low,1.58,185,5.29,36,110,2
High,0.54,354,0.48,52,258,18
Medium,1.85,216,7.48,81,47,28
Medium,3.24,154,5.58,51,294,32
Medium,1.86,326,11.64,69,333,40
Medium,3.71,302,5.43,59,250,31
Low,0.62,11,0.79,34,6,-1
High,2.13,182,13.3,81,258,-9
Low,2.98,139,5.3,55,313,33
Low,0.46,188,2.08,28,120,33
High,1.21,97,3.49,44,156,10
Low,1.85,190,5.12,29,79,25
Medium,0.79,178,10.26,37,82,23
Medium,2.93,107,4.62,77,196,35
High,0.32,187,0.17,55,118,
High,2.65,209,4.73,71,231,5
High,2.56,278,2.1,75,300,38
Low,0.24,322,14.38,63,215,
High,1.86,152,2.38,27,151,23
Low,1.02,176,4.57,53,24,
High,3.7,176,4.46,29,85,-7
Low,2.61,69,4.5,34,27,1
Medium,0.35,36,5.89,42,50,22
High,1.98,142,4.49,58,188,12
High,2.52,331,10.96,100,259,23
Medium,1.95,299,0.22,89,254,26
Medium,3.41,18,5.67,54,356,26
Medium,0.78,1,3.28,50,91,8
High,1.53,329,14.76,75,239,23
Low,0.25,134,14.76,100,74,14
Low,3.79,320,5.67,45,42,22
High,3.97,254,9.63,50,254,35
High,0.65,125,2.02,25,157,15
Medium,1.9,37,4.41,20,146,15
Medium,1.02,325,7.64,90,291,-9
Medium,1.43,383,8.5,67,273,0
Medium,0.79,87,4.09,97,120,-10
,2.36,75,2.19,48,73,0
High,1.7,385,10.57,84,200,23
Medium,3.1,155,11.15,58,357,38
Medium,0.41,127,0.46,14,168,21
High,0.41,334,6.12,85,278,22
Medium,2.63,252,11.29,92,192,31
High,1.47,381,2.89,79,198,30
High,1.36,162,6.75,100,183,26
Low,2.21,368,9.68,50,352,39
Low,1.49,238,8.72,68,306,32
Low,1.32,316,0.78,14,267,26
Low,0.15,383,4.13,57,179,11
High,2.89,222,2.71,91,325,38
Low,1.51,231,7.21,59,166,12
High,0.87,283,12.42,75,279,36
Low,1.04,52,6.87,20,52,-1
Low,1.09,101,13.29,63,360,21
High,3.88,207,7.39,59,225,25
Medium,2.93,356,5.33,70,224,40
Low,0.23,183,1.21,92,75,14
Low,1.2,374,8.96,85,180,16
High,1.33,321,10.71,,14,28
High,1.97,61,4.59,26,127,-3
Low,1.13,281,13.11,56,314,4
Medium,2.35,168,4.59,26,258,20
Medium,2.62,210,14.59,33,206,20
Low,0.74,198,0.73,52,81,-5
Medium,0.01,206,1.16,21,44,24
High,1,126,0.78,36,80,21
Low,1.16,82,2.31,37,52,6
Low,1.47,187,4.37,14,199,13
Low,0.79,40,6.09,20,153,-8
Medium,2.24,253,7.88,51,358,35
Medium,2.39,287,7.03,62,318,31
Medium,3.03,303,10.3,84,,31
Medium,3.35,358,14.2,76,264,21
High,1.64,159,1.3,54,36,5
High,3.57,334,7.06,95,332,30
Medium,3.73,95,3.93,60,37,16
Low,0.49,366,6.86,21,200,21
High,1.97,377,12.67,70,346,25
Low,1.38,344,4.01,56,287,21
Low,1.35,183,4.85,38,295,24
High,3.83,167,4.09,57,353,39
Medium,0.66,264,5.55,71,269,22
Medium,1.99,43,5.66,14,154,7
Medium,3.21,227,8.93,91,308,35
Medium,1.57,29,6.79,36,173,19
High,1.78,188,9.6,83,140,29
Medium,2.52,311,12.05,55,303,22
High,1.29,231,8.69,57,253,22
Low,1.93,144,2.39,73,170,-1
High,1.37,199,12.05,,97,38
Medium,1.7,87,2.4,52,180,16
Medium,2.45,188,12.3,76,297,24
Low,1.35,84,2.64,79,1,15
Medium,,45,3.65,27,158,20
Medium,1.58,140,9.78,16,87,36
Medium,1.2,181,13.07,85,133,20
High,0.4,106,6.33,44,,20
Low,0.88,245,5.63,33,75,-10
High,1.75,372,5.99,26,60,-1
Low,2.06,170,4.89,,208,27
Low,3.54,264,6.55,67,255,29
High,0.32,127,0.6,47,186,-3
Medium,1.75,49,5.28,52,78,-2
Low,1.87,189,1.82,47,29,24
Medium,2.08,142,14.92,,302,23
Medium,2.83,333,4.73,60,203,22
High,1.64,130,14.42,70,276,27
Low,1.65,103,0.12,46,177,5
Low,2.25,296,11.37,94,226,31
Medium,2.55,183,11.66,52,198,29
Low,0.17,146,5.83,,58,-8
Low,1.07,113,3.22,26,153,21
Medium,0.87,294,4.39,53,174,0
Low,0.22,12,5.54,,157,24
,3.8,274,14.73,55,340,24
Medium,0.58,133,5.19,25,137,2
Medium,3.63,161,9.53,96,322,33
High,0.51,165,7.59,99,70,32
Medium,0.89,27,7.44,24,290,12
Low,3.3,353,11.5,67,216,33
High,3.07,174,13.56,93,275,31
,3.18,199,3.1,15,50,-10
Medium,0.79,37,5.04,14,3,-6
Medium,1.79,320,9.39,95,188,1
Medium,2.29,169,11.23,56,287,38
High,0.22,111,12.35,59,48,9
Low,1.3,182,3.05,31,156,13
Medium,0.06,51,4.58,33,192,21
Low,3.7,70,0.88,54,23,0
High,1.72,156,4.3,37,89,40
Medium,1.86,107,0.13,51,5,12
Low,1.87,79,6,28,88,16
Low,1.63,191,6.09,37,185,23
Medium,0.5,175,1.73,60,86,2
High,2.89,285,9.84,77,268,36
Medium,3.72,271,12.37,92,319,23
High,2.21,219,7.42,57,296,20
Low,0.42,276,5.31,39,143,3
High,2.02,141,6.2,36,175,18
Low,0.03,7,2.79,39,124,-5
High,1.95,163,0.06,41,226,14
Low,0.42,8,5.09,30,108,20
Medium,1.48,323,1.67,59,319,28
Medium,3.98,261,1.44,51,300,25
High,0.74,291,3.62,56,104,4
High,0.53,108,3.72,54,59,2
Medium,0.06,204,1.66,41,84,-2
Medium,2.93,153,6.28,19,233,
Low,0.96,158,2.93,35,28,-9
Medium,1.58,36,6.53,32,,13
High,1.76,245,8.25,75,245,29
Low,2.23,392,6.51,100,53,15
Low,0.75,279,0.01,58,254,-9
Low,1.85,8,8.74,14,127,12
High,3.25,395,13.17,61,243,27
Low,1.08,10,6.91,25,53,-6
Low,3.22,63,3.78,31,151,19
High,1.79,88,11.51,17,183,-7
Low,,1,4.8,52,95,6
High,3.87,67,4.68,94,261,
Low,1.95,167,5.53,69,,29
Low,1.54,349,8.6,82,74,
Medium,0.65,326,1.24,38,177,18
High,3.61,203,7.79,57,49,11
Low,0.87,199,2.12,32,95,7
Medium,1.47,181,3.73,48,193,15
Medium,0.62,9,6.18,52,56,-7
High,3.31,31,4.19,64,123,26
High,0.31,313,5.89,58,186,13
Low,3.07,176,7.29,54,225,23
Medium,0.75,335,7.31,87,233,26
Low,0.13,194,2.44,46,160,25
Low,2.09,169,7.05,50,73,38
Medium,2.92,326,11.01,75,0,20
High,1.46,183,1.21,55,45,15
Low,2.69,214,6.88,85,274,36
High,3.2,217,9.53,76,217,5
Low,3.58,100,9.58,89,167,40
Medium,0.88,340,9.61,82,255,35
Low,0.36,153,2.59,52,147,14
Low,1.13,68,6.48,60,97,-10
Medium,1.92,167,12.07,66,298,35
Medium,2.72,274,8.34,92,211,25
High,1.45,290,8.69,75,327,33
Medium,0.02,352,8.67,88,188,35
Medium,3.81,352,0.27,64,220,26
Low,1.17,178,14.04,52,188,4
Medium,1.42,126,3.11,20,141,
Medium,1.91,199,2.98,,193,-4
High,2.25,159,11.64,87,222,21
Low,1.84,260,14.56,31,320,0
Medium,3.28,160,9.87,22,121,36
Medium,1.79,322,7.02,69,271,36
High,2.79,244,7.64,82,358,38
High,2.69,314,9.25,54,265,30
Medium,1.2,353,4.97,99,276,36
Low,3.04,163,2.53,33,1,20
Medium,2.49,367,6.48,64,289,39
Low,1.43,304,10.54,99,34,33
High,4,288,5.26,81,300,20
High,0.93,18,4.31,15,21,23
Medium,3.7,312,8.48,62,255,13
Medium,3.33,386,6.98,51,342,34
Low,1.93,351,7.3,22,116,-6
Low,,56,1.99,48,121,-9
Medium,1.84,72,3.28,26,358,20
Medium,3.13,379,7.3,83,270,15
Medium,3.14,144,7.72,49,85,7
Medium,0.81,145,0.71,48,37,-3
Low,0.8,72,2.07,15,22,2
Medium,1.8,225,8.91,67,215,21
Low,1.64,45,4.31,58,126,13
Medium,0.48,162,1.16,22,80,27
High,2.01,217,10.6,41,328,25
Medium,1.42,312,4.31,59,294,31
Medium,1.05,75,2.85,23,153,12
Low,1.07,102,3.86,57,114,17
Medium,0.37,3,3.26,23,164,-5
High,0.93,374,4.44,87,264,18
Medium,0.7,316,0.46,35,248,1
Medium,1.57,100,1.42,44,130,10
Low,1.01,9,2.43,68,39,11
Medium,1.59,350,0.33,48,6,-10
Medium,0.02,255,10.41,27,53,-6
Low,1.85,293,13.68,99,10,21
Low,0.9,9,3.11,36,88,-10
High,2.74,260,7.8,57,289,22
High,1.56,58,5.26,40,116,29
Low,1.17,226,7.13,14,103,-2
Low,1.54,391,8.85,68,258,23
High,3.43,381,10.64,72,217,34
High,0.11,390,1.97,51,184,3
Medium,1.26,49,4.87,31,124,-2
Medium,1.92,163,7.02,91,293,35
High,3.56,181,4.61,82,254,21
Low,1.47,4,12.91,61,261,40
Low,3.1,162,12.31,98,276,40
Low,1.01,192,4.3,30,183,-7
Medium,0.25,123,2.92,24,47,7
Medium,1.47,352,13.89,75,85,21
High,0.74,160,4.6,84,185,10
Medium,1.3,379,10.66,97,345,39
High,1.13,63,5.08,20,17,-9
Medium,0.34,134,6.02,39,66,5
Low,0.35,54,1.29,76,152,
Medium,0.86,179,1.26,64,121,27
Medium,1.84,29,5.17,56,14,22
Low,2.09,213,5.47,78,349,36
High,1.35,295,6.18,53,339,31
,3.77,269,0.15,61,346,26
Low,3.39,298,7.22,88,209,37
High,1.93,73,3.95,51,,15
Medium,0.52,50,11.19,19,74,-10
High,1.88,171,7.88,88,205,29
Low,0.01,388,5.9,35,85,
High,0.72,335,2.11,33,26,5
High,0.36,93,5.49,48,261,12
Medium,1.32,110,10.34,62,231,40
Medium,1.46,276,7.76,81,332,33
High,2.02,1,5.58,61,208,39
High,2.43,264,10.52,76,275,30
Low,0.19,100,5.88,29,140,-3
Low,1.48,272,4.17,24,53,10
Low,3.48,54,2.53,81,315,24
High,0.65,331,4.56,49,121,25
Low,3.44,183,0.22,68,231,30
High,1.9,378,11.05,89,236,22
Medium,0.91,318,1.14,20,77,12
Medium,0.65,174,3.98,36,137,-3
Low,3.96,90,14.15,,123,20
High,1.79,178,9.62,72,15,25
High,3.81,179,6.9,64,256,
Low,0.57,123,3.4,45,184,8
High,1,159,1.04,50,,21
High,3.59,182,10.03,95,312,20
Medium,,342,5.95,72,319,33
Low,0.11,123,3.02,79,90,7
Low,1.69,379,11.78,90,180,37
High,3.92,177,6.12,49,39,20
High,3.69,135,14.92,53,278,20
Low,1.84,33,6.08,38,169,1
High,0.06,214,3.57,47,122,8
,,167,10.37,72,324,26
Medium,0,95,2.3,48,148,-5
High,3.67,360,1.6,73,331,35
Low,2.54,174,1.12,34,174,12
Medium,0.57,362,9.7,82,328,5
High,1.67,194,10.04,97,318,-4
Medium,0.09,336,14.79,33,141,-7
High,0.02,150,1.77,73,48,-5
High,0.97,5,5.51,31,115,17
High,1,10,2.59,24,126,25
Medium,0.3,93,4.98,29,79,-8
High,3.5,361,8.94,61,338,33
High,2.22,355,11.04,96,322,37
Medium,1.05,242,3.97,49,73,11
Low,1.9,14,1.71,37,15,2
Medium,3.61,362,10.53,83,355,39
High,2.53,381,9.44,59,194,33
Low,1.47,297,1.41,93,109,25
Low,1.7,48,8.91,84,27,16
Medium,1.26,56,2.69,14,10,8
,3.87,395,9.4,84,288,20
Medium,1.63,102,6.71,53,17,-1
Medium,2.84,371,6.17,29,262,40
High,2.09,361,10.59,79,216,26
Low,0.13,364,2.32,59,141,12
High,0.73,15,2.13,60,257,19
Low,3.27,280,9.49,53,340,20
Medium,1.88,184,0.36,50,150,23
Medium,0.04,32,0.01,71,3,-3
Medium,3.81,320,0.93,88,117,20
,1.87,379,5.69,48,288,37
